# src/main/resources/input.csv
first_name,last_name,email,registration_state
John,Doe,john.doe@example.com,IN_PROGRESS
Jane,Smith,jane.smith@example.com,COMPLETED
Peter,Jones,peter.jones@example.com,IN_PROGRESS
Alice,Williams,alice.williams@example.com,COMPLETED
Bob,Brown,bob.brown@example.com,IN_PROGRESS
Charlie,Davis,charlie.davis@example.com,COMPLETED
Diana,Evans,diana.evans@example.com,IN_PROGRESS
Frank,Green,frank.green@example.com,COMPLETED
Grace,Hall,grace.hall@example.com,IN_PROGRESS
Henry,Ivy,henry.ivy@example.com,COMPLETED
Ivy,Jackson,ivy.jackson@example.com,IN_PROGRESS
Karen,King,karen.king@example.com,IN_PROGRESS
Liam,Lewis,liam.lewis@example.com,COMPLETED
Mia,Miller,mia.miller@example.com,IN_PROGRESS
Noah,Nelson,noah.nelson@example.com,IN_PROGRESS
Olivia,Owens,olivia.owens@example.com,IN_PROGRESS
